Iter 200, dt=2.87e-05, res=1.90e-01
Iter 400, dt=2.87e-05, res=6.83e-02
Iter 600, dt=2.87e-05, res=3.71e-02
Iter 800, dt=2.87e-05, res=2.40e-02
Iter 1000, dt=2.87e-05, res=1.71e-02
Iter 1200, dt=2.87e-05, res=1.30e-02
Iter 1400, dt=2.87e-05, res=1.02e-02
Iter 1600, dt=2.87e-05, res=8.35e-03
Iter 1800, dt=2.87e-05, res=6.98e-03
Iter 2000, dt=2.87e-05, res=5.94e-03
Iter 2200, dt=2.87e-05, res=5.15e-03
Iter 2400, dt=2.87e-05, res=4.52e-03
Iter 2600, dt=2.87e-05, res=4.01e-03
Iter 2800, dt=2.87e-05, res=3.59e-03
Iter 3000, dt=2.87e-05, res=3.24e-03
Iter 3200, dt=2.87e-05, res=2.94e-03
Iter 3400, dt=2.87e-05, res=2.69e-03
Iter 3600, dt=2.87e-05, res=2.47e-03
Iter 3800, dt=2.87e-05, res=2.28e-03
Iter 4000, dt=2.87e-05, res=2.11e-03
Iter 4200, dt=2.87e-05, res=1.96e-03
Iter 4400, dt=2.87e-05, res=1.83e-03
Iter 4600, dt=2.87e-05, res=1.71e-03
Iter 4800, dt=2.87e-05, res=1.61e-03
Iter 5000, dt=2.87e-05, res=1.52e-03
Iter 5200, dt=2.87e-05, res=1.43e-03
Iter 5400, dt=2.87e-05, res=1.35e-03
Iter 5600, dt=2.87e-05, res=1.28e-03
Iter 5800, dt=2.87e-05, res=1.22e-03
Iter 6000, dt=2.87e-05, res=1.16e-03
Iter 6200, dt=2.87e-05, res=1.10e-03
Iter 6400, dt=2.87e-05, res=1.05e-03
Iter 6600, dt=2.87e-05, res=1.00e-03
Iter 6800, dt=2.87e-05, res=9.60e-04
Iter 7000, dt=2.87e-05, res=9.20e-04
Iter 7200, dt=2.87e-05, res=8.82e-04
Iter 7400, dt=2.87e-05, res=8.46e-04
Iter 7600, dt=2.87e-05, res=8.13e-04
Iter 7800, dt=2.87e-05, res=7.83e-04
Iter 8000, dt=2.87e-05, res=7.53e-04
Iter 8200, dt=2.87e-05, res=7.26e-04
Iter 8400, dt=2.87e-05, res=7.00e-04
Iter 8600, dt=2.87e-05, res=6.76e-04
Iter 8800, dt=2.87e-05, res=6.53e-04
Iter 9000, dt=2.87e-05, res=6.32e-04
Iter 9200, dt=2.87e-05, res=6.11e-04
Iter 9400, dt=2.87e-05, res=5.92e-04
Iter 9600, dt=2.87e-05, res=5.73e-04
Iter 9800, dt=2.87e-05, res=5.56e-04
Iter 10000, dt=2.87e-05, res=5.39e-04
Iter 10200, dt=2.87e-05, res=5.23e-04
Iter 10400, dt=2.87e-05, res=5.08e-04
Iter 10600, dt=2.87e-05, res=4.93e-04
Iter 10800, dt=2.87e-05, res=4.80e-04
Iter 11000, dt=2.87e-05, res=4.67e-04
Iter 11200, dt=2.87e-05, res=4.54e-04
Iter 11400, dt=2.87e-05, res=4.42e-04
Iter 11600, dt=2.87e-05, res=4.30e-04
Iter 11800, dt=2.87e-05, res=4.19e-04
Iter 12000, dt=2.87e-05, res=4.09e-04
Iter 12200, dt=2.87e-05, res=3.98e-04
Iter 12400, dt=2.87e-05, res=3.89e-04
Iter 12600, dt=2.87e-05, res=3.79e-04
Iter 12800, dt=2.87e-05, res=3.70e-04
Iter 13000, dt=2.87e-05, res=3.61e-04
Iter 13200, dt=2.87e-05, res=3.53e-04
Iter 13400, dt=2.87e-05, res=3.45e-04
Iter 13600, dt=2.87e-05, res=3.37e-04
Iter 13800, dt=2.87e-05, res=3.30e-04
Iter 14000, dt=2.87e-05, res=3.22e-04
Iter 14200, dt=2.87e-05, res=3.16e-04
Iter 14400, dt=2.87e-05, res=3.09e-04
Iter 14600, dt=2.87e-05, res=3.02e-04
Iter 14800, dt=2.87e-05, res=2.96e-04
Iter 15000, dt=2.87e-05, res=2.90e-04
Iter 15200, dt=2.87e-05, res=2.84e-04
Iter 15400, dt=2.87e-05, res=2.78e-04
Iter 15600, dt=2.87e-05, res=2.73e-04
Iter 15800, dt=2.87e-05, res=2.67e-04
Iter 16000, dt=2.87e-05, res=2.62e-04
Iter 16200, dt=2.87e-05, res=2.57e-04
Iter 16400, dt=2.87e-05, res=2.52e-04
Iter 16600, dt=2.87e-05, res=2.47e-04
Iter 16800, dt=2.87e-05, res=2.43e-04
Iter 17000, dt=2.87e-05, res=2.38e-04
Iter 17200, dt=2.87e-05, res=2.34e-04
Iter 17400, dt=2.87e-05, res=2.31e-04
Iter 17600, dt=2.87e-05, res=2.28e-04
Iter 17800, dt=2.87e-05, res=2.25e-04
Iter 18000, dt=2.87e-05, res=2.22e-04
Iter 18200, dt=2.87e-05, res=2.19e-04
Iter 18400, dt=2.87e-05, res=2.16e-04
Iter 18600, dt=2.87e-05, res=2.13e-04
Iter 18800, dt=2.87e-05, res=2.10e-04
Iter 19000, dt=2.87e-05, res=2.07e-04
Iter 19200, dt=2.87e-05, res=2.05e-04
Iter 19400, dt=2.87e-05, res=2.02e-04
Iter 19600, dt=2.87e-05, res=1.99e-04
Iter 19800, dt=2.87e-05, res=1.97e-04
Iter 20000, dt=2.87e-05, res=1.94e-04
N=512 Re=100.0 steps=20000 time=1373.719s MLUPS(vort)=3.79 avg_dt=2.87e-05 res=1.94e-04
