timestamp,N,Re,CFL,tol,jacobi_iters,steps,time_s,avg_dt,MLUPS_vort,res,language,threads
2025-08-28T20:53:54,128,100.0,0.3,1e-06,80,20000,24.571986,0.0004650009,12.922,5.277e-06,Julia,1
2025-08-28T20:56:42,256,100.0,0.3,1e-06,80,20000,92.746705,0.0001153403,13.912,8.573e-05,Julia,1
2025-08-28T21:04:41,384,100.0,0.3,1e-06,80,20000,210.729023,5.112858e-05,13.849,0.0001551,Julia,1
2025-08-28T21:20:55,512,100.0,0.3,1e-06,80,20000,387.915093,2.872232e-05,13.41,0.0001943,Julia,1
2025-08-28T22:11:55,1024,100.0,0.3,1e-06,80,20000,1684.347287,7.166548e-06,12.402,0.0003805,Julia,1
2025-08-28T20:55:08,128,100.0,0.3,1e-06,80,20000,73.971487,0.0004650009,4.292,5.277e-06,Python-NumPy,1
2025-08-28T21:01:09,256,100.0,0.3,1e-06,80,20000,266.605341,0.0001153403,4.84,8.573e-05,Python-NumPy,1
2025-08-28T21:14:26,384,100.0,0.3,1e-06,80,20000,584.085368,5.112858e-05,4.997,0.0001551,Python-NumPy,1
2025-08-28T21:43:49,512,100.0,0.3,1e-06,80,20000,1373.719447,2.872232e-05,3.787,0.0001943,Python-NumPy,1
2025-08-28T23:58:56,1024,100.0,0.3,1e-06,80,20000,6420.414647,7.166548e-06,3.254,0.0003805,Python-NumPy,1
,128,100.0,0.3,1e-06,80,20000,24.571986,0.0004650009,12.922,5.277e-06,Julia,1
,128,100.0,0.3,1e-06,80,20000,73.971487,0.0004650009,4.292,5.277e-06,Python-NumPy,1
,256,100.0,0.3,1e-06,80,20000,92.746705,0.0001153403,13.912,8.573e-05,Julia,1
,256,100.0,0.3,1e-06,80,20000,266.605341,0.0001153403,4.84,8.573e-05,Python-NumPy,1
,384,100.0,0.3,1e-06,80,20000,210.729023,5.112858e-05,13.849,0.0001551,Julia,1
,384,100.0,0.3,1e-06,80,20000,584.085368,5.112858e-05,4.997,0.0001551,Python-NumPy,1
,512,100.0,0.3,1e-06,80,20000,387.915093,2.872232e-05,13.41,0.0001943,Julia,1
,512,100.0,0.3,1e-06,80,20000,1373.719447,2.872232e-05,3.787,0.0001943,Python-NumPy,1
,1024,100.0,0.3,1e-06,80,20000,1684.347287,7.166548e-06,12.402,0.0003805,Julia,1
,1024,100.0,0.3,1e-06,80,20000,6420.414647,7.166548e-06,3.254,0.0003805,Python-NumPy,1
