Iter 200, dt=7.17e-06, res=3.80e-01
Iter 400, dt=7.17e-06, res=1.37e-01
Iter 600, dt=7.17e-06, res=7.52e-02
Iter 800, dt=7.17e-06, res=4.90e-02
Iter 1000, dt=7.17e-06, res=3.51e-02
Iter 1200, dt=7.17e-06, res=2.67e-02
Iter 1400, dt=7.17e-06, res=2.12e-02
Iter 1600, dt=7.17e-06, res=1.73e-02
Iter 1800, dt=7.17e-06, res=1.45e-02
Iter 2000, dt=7.17e-06, res=1.24e-02
Iter 2200, dt=7.17e-06, res=1.07e-02
Iter 2400, dt=7.17e-06, res=9.37e-03
Iter 2600, dt=7.17e-06, res=8.30e-03
Iter 2800, dt=7.17e-06, res=7.42e-03
Iter 3000, dt=7.17e-06, res=6.68e-03
Iter 3200, dt=7.17e-06, res=6.05e-03
Iter 3400, dt=7.17e-06, res=5.52e-03
Iter 3600, dt=7.17e-06, res=5.05e-03
Iter 3800, dt=7.17e-06, res=4.65e-03
Iter 4000, dt=7.17e-06, res=4.30e-03
Iter 4200, dt=7.17e-06, res=3.99e-03
Iter 4400, dt=7.17e-06, res=3.72e-03
Iter 4600, dt=7.17e-06, res=3.48e-03
Iter 4800, dt=7.17e-06, res=3.26e-03
Iter 5000, dt=7.17e-06, res=3.06e-03
Iter 5200, dt=7.17e-06, res=2.88e-03
Iter 5400, dt=7.17e-06, res=2.72e-03
Iter 5600, dt=7.17e-06, res=2.57e-03
Iter 5800, dt=7.17e-06, res=2.44e-03
Iter 6000, dt=7.17e-06, res=2.31e-03
Iter 6200, dt=7.17e-06, res=2.20e-03
Iter 6400, dt=7.17e-06, res=2.10e-03
Iter 6600, dt=7.17e-06, res=2.00e-03
Iter 6800, dt=7.17e-06, res=1.91e-03
Iter 7000, dt=7.17e-06, res=1.83e-03
Iter 7200, dt=7.17e-06, res=1.75e-03
Iter 7400, dt=7.17e-06, res=1.68e-03
Iter 7600, dt=7.17e-06, res=1.61e-03
Iter 7800, dt=7.17e-06, res=1.55e-03
Iter 8000, dt=7.17e-06, res=1.49e-03
Iter 8200, dt=7.17e-06, res=1.44e-03
Iter 8400, dt=7.17e-06, res=1.39e-03
Iter 8600, dt=7.17e-06, res=1.34e-03
Iter 8800, dt=7.17e-06, res=1.29e-03
Iter 9000, dt=7.17e-06, res=1.25e-03
Iter 9200, dt=7.17e-06, res=1.21e-03
Iter 9400, dt=7.17e-06, res=1.17e-03
Iter 9600, dt=7.17e-06, res=1.14e-03
Iter 9800, dt=7.17e-06, res=1.10e-03
Iter 10000, dt=7.17e-06, res=1.07e-03
Iter 10200, dt=7.17e-06, res=1.04e-03
Iter 10400, dt=7.17e-06, res=1.01e-03
Iter 10600, dt=7.17e-06, res=9.79e-04
Iter 10800, dt=7.17e-06, res=9.52e-04
Iter 11000, dt=7.17e-06, res=9.26e-04
Iter 11200, dt=7.17e-06, res=9.02e-04
Iter 11400, dt=7.17e-06, res=8.78e-04
Iter 11600, dt=7.17e-06, res=8.56e-04
Iter 11800, dt=7.17e-06, res=8.34e-04
Iter 12000, dt=7.17e-06, res=8.13e-04
Iter 12200, dt=7.17e-06, res=7.94e-04
Iter 12400, dt=7.17e-06, res=7.75e-04
Iter 12600, dt=7.17e-06, res=7.56e-04
Iter 12800, dt=7.17e-06, res=7.39e-04
Iter 13000, dt=7.17e-06, res=7.22e-04
Iter 13200, dt=7.17e-06, res=7.06e-04
Iter 13400, dt=7.17e-06, res=6.90e-04
Iter 13600, dt=7.17e-06, res=6.75e-04
Iter 13800, dt=7.17e-06, res=6.60e-04
Iter 14000, dt=7.17e-06, res=6.46e-04
Iter 14200, dt=7.17e-06, res=6.33e-04
Iter 14400, dt=7.17e-06, res=6.20e-04
Iter 14600, dt=7.17e-06, res=6.07e-04
Iter 14800, dt=7.17e-06, res=5.95e-04
Iter 15000, dt=7.17e-06, res=5.83e-04
Iter 15200, dt=7.17e-06, res=5.72e-04
Iter 15400, dt=7.17e-06, res=5.61e-04
Iter 15600, dt=7.17e-06, res=5.50e-04
Iter 15800, dt=7.17e-06, res=5.40e-04
Iter 16000, dt=7.17e-06, res=5.30e-04
Iter 16200, dt=7.17e-06, res=5.20e-04
Iter 16400, dt=7.17e-06, res=5.11e-04
Iter 16600, dt=7.17e-06, res=5.02e-04
Iter 16800, dt=7.17e-06, res=4.93e-04
Iter 17000, dt=7.17e-06, res=4.84e-04
Iter 17200, dt=7.17e-06, res=4.76e-04
Iter 17400, dt=7.17e-06, res=4.68e-04
Iter 17600, dt=7.17e-06, res=4.60e-04
Iter 17800, dt=7.17e-06, res=4.52e-04
Iter 18000, dt=7.17e-06, res=4.45e-04
Iter 18200, dt=7.17e-06, res=4.38e-04
Iter 18400, dt=7.17e-06, res=4.31e-04
Iter 18600, dt=7.17e-06, res=4.24e-04
Iter 18800, dt=7.17e-06, res=4.17e-04
Iter 19000, dt=7.17e-06, res=4.11e-04
Iter 19200, dt=7.17e-06, res=4.04e-04
Iter 19400, dt=7.17e-06, res=3.98e-04
Iter 19600, dt=7.17e-06, res=3.92e-04
Iter 19800, dt=7.17e-06, res=3.86e-04
Iter 20000, dt=7.17e-06, res=3.81e-04
N=1024 Re=100.0 steps=20000 time=1636.705s MLUPS(vort)=12.76 avg_dt=7.17e-06 res=3.81e-04
