Iter 200, dt=1.15e-04, res=9.33e-02
Iter 400, dt=1.15e-04, res=3.29e-02
Iter 600, dt=1.15e-04, res=1.78e-02
Iter 800, dt=1.15e-04, res=1.16e-02
Iter 1000, dt=1.15e-04, res=8.34e-03
Iter 1200, dt=1.15e-04, res=6.37e-03
Iter 1400, dt=1.15e-04, res=5.07e-03
Iter 1600, dt=1.15e-04, res=4.16e-03
Iter 1800, dt=1.15e-04, res=3.49e-03
Iter 2000, dt=1.15e-04, res=2.99e-03
Iter 2200, dt=1.15e-04, res=2.59e-03
Iter 2400, dt=1.15e-04, res=2.27e-03
Iter 2600, dt=1.15e-04, res=2.01e-03
Iter 2800, dt=1.15e-04, res=1.80e-03
Iter 3000, dt=1.15e-04, res=1.62e-03
Iter 3200, dt=1.15e-04, res=1.47e-03
Iter 3400, dt=1.15e-04, res=1.34e-03
Iter 3600, dt=1.15e-04, res=1.22e-03
Iter 3800, dt=1.15e-04, res=1.13e-03
Iter 4000, dt=1.15e-04, res=1.04e-03
Iter 4200, dt=1.15e-04, res=9.63e-04
Iter 4400, dt=1.15e-04, res=8.95e-04
Iter 4600, dt=1.15e-04, res=8.39e-04
Iter 4800, dt=1.15e-04, res=7.96e-04
Iter 5000, dt=1.15e-04, res=7.56e-04
Iter 5200, dt=1.15e-04, res=7.20e-04
Iter 5400, dt=1.15e-04, res=6.86e-04
Iter 5600, dt=1.15e-04, res=6.54e-04
Iter 5800, dt=1.15e-04, res=6.25e-04
Iter 6000, dt=1.15e-04, res=5.98e-04
Iter 6200, dt=1.15e-04, res=5.72e-04
Iter 6400, dt=1.15e-04, res=5.49e-04
Iter 6600, dt=1.15e-04, res=5.26e-04
Iter 6800, dt=1.15e-04, res=5.05e-04
Iter 7000, dt=1.15e-04, res=4.85e-04
Iter 7200, dt=1.15e-04, res=4.67e-04
Iter 7400, dt=1.15e-04, res=4.49e-04
Iter 7600, dt=1.15e-04, res=4.32e-04
Iter 7800, dt=1.15e-04, res=4.17e-04
Iter 8000, dt=1.15e-04, res=4.02e-04
Iter 8200, dt=1.15e-04, res=3.87e-04
Iter 8400, dt=1.15e-04, res=3.74e-04
Iter 8600, dt=1.15e-04, res=3.61e-04
Iter 8800, dt=1.15e-04, res=3.49e-04
Iter 9000, dt=1.15e-04, res=3.37e-04
Iter 9200, dt=1.15e-04, res=3.26e-04
Iter 9400, dt=1.15e-04, res=3.15e-04
Iter 9600, dt=1.15e-04, res=3.05e-04
Iter 9800, dt=1.15e-04, res=2.96e-04
Iter 10000, dt=1.15e-04, res=2.86e-04
Iter 10200, dt=1.15e-04, res=2.77e-04
Iter 10400, dt=1.15e-04, res=2.69e-04
Iter 10600, dt=1.15e-04, res=2.61e-04
Iter 10800, dt=1.15e-04, res=2.53e-04
Iter 11000, dt=1.15e-04, res=2.46e-04
Iter 11200, dt=1.15e-04, res=2.39e-04
Iter 11400, dt=1.15e-04, res=2.32e-04
Iter 11600, dt=1.15e-04, res=2.26e-04
Iter 11800, dt=1.15e-04, res=2.20e-04
Iter 12000, dt=1.15e-04, res=2.14e-04
Iter 12200, dt=1.15e-04, res=2.08e-04
Iter 12400, dt=1.15e-04, res=2.03e-04
Iter 12600, dt=1.15e-04, res=1.98e-04
Iter 12800, dt=1.15e-04, res=1.93e-04
Iter 13000, dt=1.15e-04, res=1.88e-04
Iter 13200, dt=1.15e-04, res=1.83e-04
Iter 13400, dt=1.15e-04, res=1.79e-04
Iter 13600, dt=1.15e-04, res=1.74e-04
Iter 13800, dt=1.15e-04, res=1.70e-04
Iter 14000, dt=1.15e-04, res=1.66e-04
Iter 14200, dt=1.15e-04, res=1.62e-04
Iter 14400, dt=1.15e-04, res=1.58e-04
Iter 14600, dt=1.15e-04, res=1.54e-04
Iter 14800, dt=1.15e-04, res=1.51e-04
Iter 15000, dt=1.15e-04, res=1.47e-04
Iter 15200, dt=1.15e-04, res=1.44e-04
Iter 15400, dt=1.15e-04, res=1.40e-04
Iter 15600, dt=1.15e-04, res=1.37e-04
Iter 15800, dt=1.15e-04, res=1.34e-04
Iter 16000, dt=1.15e-04, res=1.31e-04
Iter 16200, dt=1.15e-04, res=1.28e-04
Iter 16400, dt=1.15e-04, res=1.25e-04
Iter 16600, dt=1.15e-04, res=1.22e-04
Iter 16800, dt=1.15e-04, res=1.20e-04
Iter 17000, dt=1.15e-04, res=1.17e-04
Iter 17200, dt=1.15e-04, res=1.15e-04
Iter 17400, dt=1.15e-04, res=1.12e-04
Iter 17600, dt=1.15e-04, res=1.10e-04
Iter 17800, dt=1.15e-04, res=1.08e-04
Iter 18000, dt=1.15e-04, res=1.05e-04
Iter 18200, dt=1.15e-04, res=1.03e-04
Iter 18400, dt=1.15e-04, res=1.01e-04
Iter 18600, dt=1.15e-04, res=9.88e-05
Iter 18800, dt=1.15e-04, res=9.68e-05
Iter 19000, dt=1.15e-04, res=9.48e-05
Iter 19200, dt=1.15e-04, res=9.29e-05
Iter 19400, dt=1.15e-04, res=9.10e-05
Iter 19600, dt=1.15e-04, res=8.92e-05
Iter 19800, dt=1.15e-04, res=8.75e-05
Iter 20000, dt=1.15e-04, res=8.57e-05
N=256 Re=100.0 steps=20000 time=261.342s MLUPS(vort)=4.94 avg_dt=1.15e-04 res=8.57e-05
