timestamp,N,Re,CFL,tol,jacobi_iters,steps,time_s,avg_dt,MLUPS_vort,res,language,threads
2025-08-30T18:15:42,128,100.0,0.3,1e-06,80,20000,24.521611,0.0004650009,12.949,5.277e-06,Julia,1
2025-08-30T18:18:30,256,100.0,0.3,1e-06,80,20000,92.116564,0.0001153403,14.007,8.573e-05,Julia,1
2025-08-30T18:26:26,384,100.0,0.3,1e-06,80,20000,212.877336,5.112858e-05,13.71,0.0001551,Julia,1
2025-08-30T18:42:48,512,100.0,0.3,1e-06,80,20000,390.536189,2.872232e-05,13.32,0.0001943,Julia,1
2025-08-30T19:33:42,1024,100.0,0.3,1e-06,80,20000,1636.705461,7.166548e-06,12.763,0.0003805,Julia,1
2025-08-30T18:16:56,128,100.0,0.3,1e-06,80,20000,73.396186,0.0004650009,4.326,5.277e-06,Python-NumPy,1
2025-08-30T18:22:51,256,100.0,0.3,1e-06,80,20000,261.341859,0.0001153403,4.937,8.573e-05,Python-NumPy,1
2025-08-30T18:36:16,384,100.0,0.3,1e-06,80,20000,590.174437,5.112858e-05,4.945,0.0001551,Python-NumPy,1
2025-08-30T19:06:23,512,100.0,0.3,1e-06,80,20000,1414.858032,2.872232e-05,3.677,0.0001943,Python-NumPy,1
2025-08-30T21:20:59,1024,100.0,0.3,1e-06,80,20000,6436.832538,7.166548e-06,3.245,0.0003805,Python-NumPy,1
,128,100.0,0.3,1e-06,80,20000,24.521611,0.0004650009,12.949,5.277e-06,Julia,1
,128,100.0,0.3,1e-06,80,20000,73.396186,0.0004650009,4.326,5.277e-06,Python-NumPy,1
,256,100.0,0.3,1e-06,80,20000,92.116564,0.0001153403,14.007,8.573e-05,Julia,1
,256,100.0,0.3,1e-06,80,20000,261.341859,0.0001153403,4.937,8.573e-05,Python-NumPy,1
,384,100.0,0.3,1e-06,80,20000,212.877336,5.112858e-05,13.71,0.0001551,Julia,1
,384,100.0,0.3,1e-06,80,20000,590.174437,5.112858e-05,4.945,0.0001551,Python-NumPy,1
,512,100.0,0.3,1e-06,80,20000,390.536189,2.872232e-05,13.32,0.0001943,Julia,1
,512,100.0,0.3,1e-06,80,20000,1414.858032,2.872232e-05,3.677,0.0001943,Python-NumPy,1
,1024,100.0,0.3,1e-06,80,20000,1636.705461,7.166548e-06,12.763,0.0003805,Julia,1
,1024,100.0,0.3,1e-06,80,20000,6436.832538,7.166548e-06,3.245,0.0003805,Python-NumPy,1
